square_feet,bedrooms,bathrooms,age,location,price
1560,2,2.0,42.0,Suburbs,226200.0
1994,2,1.5,30.0,Suburbs,307500.0
1830,2,1.5,16.0,Downtown,438500.0
1795,3,2.25,12.0,Suburbs,327100.0
2338,2,1.5,17.0,Downtown,542500.0
2869,4,3.5,16.0,Rural,421100.0
1166,1,0.75,12.0,Suburbs,194900.0
1938,2,1.5,8.0,Rural,277000.0
1030,4,3.0,20.0,Rural,193800.0
2182,3,2.25,3.0,Suburbs,429200.0
2835,2,2.0,16.0,Rural,358500.0
830,3,2.75,30.0,Downtown,263400.0
2385,3,2.25,45.0,Rural,324300.0
1469,3,2.25,23.0,Downtown,391600.0
3091,1,0.75,28.0,Downtown,657100.0
2215,2,1.5,40.0,Downtown,504700.0
3133,3,2.25,5.0,Rural,428800.0
1915,3,2.25,20.0,Downtown,482700.0
1655,3,2.75,40.0,Downtown,447300.0
3024,2,1.5,44.0,Rural,337500.0
1884,3,2.75,1.0,Suburbs,393800.0
1159,3,2.75,30.0,Suburbs,251900.0
721,2,1.5,21.0,Suburbs,159400.0
3000,2,2.0,20.0,Suburbs,481900.0
1447,3,2.75,6.0,Suburbs,319900.0
1174,2,2.0,22.0,Rural,184400.0
1782,2,2.0,18.0,Suburbs,322200.0
3258,2,2.0,8.0,Downtown,758700.0
2747,1,1.25,39.0,Suburbs,426800.0
3447,1,0.75,32.0,Rural,388000.0
1675,4,3.5,33.0,Rural,236100.0
2506,3,2.75,16.0,Suburbs,446500.0
889,2,2.0,12.0,Rural,135600.0
3434,4,3.0,38.0,Suburbs,619700.0
1262,3,2.75,34.0,Downtown,377400.0
2599,2,1.5,14.0,Suburbs,455800.0
1967,2,2.0,36.0,Rural,250300.0
2228,1,0.75,33.0,Suburbs,344900.0
1346,1,0.75,23.0,Downtown,275300.0
2768,3,2.75,45.0,Downtown,658400.0
2914,3,2.75,2.0,Suburbs,541900.0
1997,2,1.5,41.0,Suburbs,302400.0
3135,4,3.5,21.0,Suburbs,582400.0
1300,3,2.25,2.0,Suburbs,308300.0
3063,1,0.75,27.0,Downtown,655800.0
2761,4,3.0,9.0,Suburbs,538900.0
941,4,3.0,1.0,Suburbs,223400.0
2741,4,3.0,11.0,Suburbs,543500.0
3312,1,1.25,3.0,Downtown,744500.0
2063,3,2.25,23.0,Suburbs,364900.0
2839,3,2.25,26.0,Suburbs,487200.0
2090,3,2.75,4.0,Suburbs,387200.0
2178,4,3.0,18.0,Suburbs,444400.0
3256,3,2.75,6.0,Downtown,810300.0
1475,3,2.75,35.0,Suburbs,275200.0
734,3,2.75,22.0,Suburbs,185600.0
