survived,pclass,sex,age,sibsp,parch,fare,embarked
0,3,male,22.253983681060376,0,0,34.83503233854921,S
1,1,male,,0,0,58.46305129641503,S
1,3,male,8.798741693348596,0,0,25.599246768575888,S
0,3,male,19.329559202045736,1,0,7.0,Q
0,2,male,,0,0,41.676204248949155,S
0,3,male,,0,0,29.341422551293153,C
0,3,male,14.187813537440935,0,0,42.0472285588203,Q
1,3,female,21.890428890165268,0,0,46.99439797334183,S
1,2,male,28.683130916492875,0,0,118.57377201531132,S
1,1,male,32.36193390583528,1,1,27.273321394503473,S
0,3,female,19.284757760940245,1,0,13.376162396869693,Q
1,3,female,34.08873253356908,0,0,33.45423164673842,Q
1,1,male,23.313927835149006,2,0,7.0,S
0,3,male,28.826572749460652,2,0,72.860518699857,C
0,3,male,35.55541097604439,1,0,7.0,S
0,3,female,29.077067237731253,1,0,12.712418995491294,Q
0,3,female,23.763369313681174,0,0,54.12597366394615,Q
0,2,female,,0,0,29.10701279808402,S
0,1,male,27.939644489535976,0,1,16.008768704800264,S
0,2,female,24.559867641414467,0,0,20.524216014673424,S
1,3,male,25.894447247994773,2,0,61.692959101006295,S
0,1,male,48.183766046056604,0,2,13.296706864929238,C
0,2,male,35.731033375294864,1,0,65.2009510590023,S
0,2,female,25.454236183650075,1,0,7.0,S
0,3,male,37.36345285412882,1,0,47.989761495873495,S
1,3,female,24.99416612292788,2,0,60.18889854801109,Q
0,2,male,43.0774956510397,0,0,7.0,S
0,2,male,33.43570630637713,0,0,18.00726574595788,S
0,3,male,,0,0,7.0,S
0,2,male,34.37260310972333,0,0,39.23943956129732,Q
1,2,female,10.149486175178009,0,0,24.526913328236663,C
0,2,male,15.478790373082337,0,0,32.27981438134795,S
0,1,female,14.672899923211336,1,0,7.000379955051929,S
1,1,female,,0,1,7.613911393078227,S
1,2,female,,0,0,7.0,S
1,2,male,55.77560175431159,0,0,12.438643373962247,S
0,3,male,36.656613217289085,0,0,26.25281296757803,Q
0,2,male,35.01013369933348,0,0,62.44703917634049,S
1,3,female,7.387307190167132,1,0,35.18063799147698,C
0,3,female,,0,0,18.29220004213445,S
0,1,male,19.546594977101133,1,1,97.92533036365913,C
0,3,female,21.54982882098661,0,1,40.648754895977866,C
0,1,male,26.982274176982525,1,0,85.17193174759282,S
1,3,female,23.33491306763447,0,0,23.996919558484972,S
0,1,male,5.248402275490548,0,0,9.588015302868298,S
1,2,female,37.97492307341041,0,0,7.0,S
0,1,male,16.127083691122323,1,0,41.437980720071494,S
0,3,female,31.870962369333796,0,0,7.0,S
0,3,female,53.88899203699968,0,0,11.540713351602461,Q
0,3,female,17.96738490096292,2,0,24.329398498054204,S
1,1,male,1.0,1,0,26.594207006427386,C
1,3,male,25.56794933743867,0,1,29.367993223911988,S
1,2,male,42.211515619982855,1,0,7.0,C
1,3,male,52.50016945064713,0,0,15.283595200024394,S
0,2,male,14.245404866570997,0,0,30.727281242891827,C
1,1,female,34.96039067883826,0,0,112.01722260891081,S
0,1,male,23.416274518639362,2,0,41.61913663924895,S
0,2,male,27.728619748350372,2,0,81.88214530656722,S
0,3,male,60.73212016420442,0,0,45.96403212186725,S
0,1,male,10.964356059258161,0,0,28.6654285242902,S
0,3,female,32.04487593793488,0,0,7.0,S
0,2,male,34.6123180611852,2,0,35.15741587096592,S
1,3,female,42.029435899272165,2,0,31.248556958838147,C
0,2,male,30.175797841650745,0,1,29.519449257510118,S
0,2,female,32.696606474049226,1,0,21.533592790188653,S
0,3,female,24.300217190938508,1,0,24.0693879051316,C
0,1,male,32.22952329494129,0,0,13.028169101509832,S
1,1,female,24.881692694031074,0,2,23.441225885730088,S
0,3,male,36.45886267827261,0,0,7.042978905648018,S
1,3,female,24.564675967476393,0,0,52.340814912694704,Q
1,2,male,33.52520472682624,0,0,7.0,C
0,2,female,28.64884623578026,0,0,7.0,C
0,3,female,42.512603009266016,2,0,18.340394867189822,S
1,2,female,28.383275316938164,0,0,34.36300454841239,C
1,1,female,7.723610381517425,0,2,18.423989944429017,S
1,1,male,44.1430580085679,0,0,10.36819354161525,S
1,3,male,18.131212389648574,0,0,26.13864850533936,S
0,3,male,,0,0,13.63781523671435,S
0,1,male,21.852064471478094,0,0,86.43487464528663,S
0,2,female,45.49325711804981,0,1,81.89925976082263,S
1,2,male,3.3719094322556558,0,0,22.33286743269813,S
1,3,female,66.65298240391992,0,0,12.714378413070632,S
0,1,female,41.672681708792624,0,0,42.75535515874653,C
0,1,female,31.678866969549915,1,0,7.0,S
0,3,male,28.341271992604565,0,0,20.605347989401018,C
0,1,female,32.42664889829188,0,0,13.118729206776024,S
1,3,female,35.253469140552056,1,1,81.03839181326379,C
1,2,male,36.74258703140068,0,1,7.0,S
1,1,female,35.667253592041384,0,0,25.753043898342355,S
0,2,female,30.074968175062985,1,2,43.188132650942954,S
0,3,male,26.631938956312087,0,0,21.235945797104606,S
1,3,male,27.18472059615786,0,0,7.0,C
1,3,male,26.661100635767827,1,0,114.9493203202962,S
0,2,male,42.60524116240477,1,0,23.35464982479518,S
1,3,male,36.122680667370346,2,0,30.47681677417014,C
0,2,male,1.0,0,0,8.639550509054699,S
0,2,male,36.87080931835713,0,0,21.141641055631098,S
0,3,male,,0,0,17.940093148357168,S
0,1,female,28.77549492264923,0,0,7.0,S
